round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_0edd7362eda9,8.025,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_13f1ff7a70b9,53.712500000000006,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_445849cbfa02,10.96,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_4673547a29eb,6.817499999999999,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_88865d95334d,15.755,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_9d3ceb7016d5,10.6,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_b0c3376ad599,24.755000000000003,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_b7e07e99afa8,40.6125,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d9aaefea702e,28.4675,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_e579d58c9088,8.125,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_ea8a9ce5fcb2,48.99250000000001,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_fb629591d74c,40.18,,,,
ROUND_006,6,screening_only,formal_frozen,observed_viability,median_iqr,,20.255000000000003,9.98125,40.288125,,
ROUND_006,6,screening_only,formal_frozen,prospective_performance,mae,,30.674374499006134,,,,
ROUND_006,6,screening_only,formal_frozen,prospective_performance,bias,,25.122825914499092,,,,
ROUND_006,6,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.6666666666666666,,,,
ROUND_006,6,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.8333333333333334,0.5519636426153274,0.9530358523851776,10.0,2.0
ROUND_006,6,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,
